33c93418-809c-8199-8e29-dd14d242bd89	Batch Normalization: internal covariate shift, training vs inference mode, learnable affine parameters	batch_normalization
33c93418-809c-8104-bb41-e4c2dd1c717b	BEiT: BERT-style pre-training for ViT	beit
33c93418-809c-8170-9b31-f31bdfe727d9	Beam search decoding: beam width, length normalization, coverage penalty	beam_search_decoding
33c93418-809c-81eb-a914-eb8a8efeacce	Greedy decoding, top-k sampling, top-p (nucleus) sampling, temperature	greedy_decoding_top_k_sampling_top_p
33c93418-809c-8172-9b9f-d3a4e5596661	ViT (Vision Transformer): patch embedding, cls token, positional embedding	vit
33c93418-809c-8129-872e-e0ee8515ecc2	DeiT: data-efficient training, distillation token	deit
33c93418-809c-8109-b642-d0b5f5841c3f	PVT, CvT, CoAtNet: hybrid CNN-Transformer	pvt_cvt_coatnet
33c93418-809c-81c8-9ad3-cc818bfc16bd	EVA, EVA-02: scaling ViTs	eva_eva_02
33c93418-809c-81ad-a1c1-dda0fd9a9dd1	Tokenization: word-level, character-level, subword	tokenization
33c93418-809c-81e2-b8a2-fbe0794a0869	Subword tokenization algorithms: BPE (Byte Pair Encoding), WordPiece, Unigram (SentencePiece), Byte-level BPE	subword_tokenization_algorithms
33c93418-809c-8127-81dc-c9973b3e5a9a	Vocabulary construction & special tokens ([CLS], [SEP], [MASK], [PAD], [UNK])	vocabulary_construction_special_tokens
33c93418-809c-8164-8292-fd2cdc9dca78	Detokenization & token-to-character alignment	detokenization_token_to_character_alignment
33c93418-809c-8196-8831-d693b5d1ff4d	Multilingual tokenization challenges	multilingual_tokenization_challenges
33c93418-809c-81da-be90-fe84da7d1cf6	FastText: subword (character n-gram) embeddings, handling OOV words	fasttext
33c93418-809c-81e8-aa60-ec9822bc387f	Embedding evaluation: word analogies, similarity benchmarks, intrinsic vs extrinsic evaluation	embedding_evaluation
33c93418-809c-812b-b4e9-f72584792f40	Contextual embeddings (ELMo): bidirectional LSTM-based, layer-wise representations	contextual_embeddings
33c93418-809c-8196-b96e-e518da8ab507	BERT: masked language modeling (MLM), next sentence prediction (NSP), [CLS] token, fine-tuning	bert
33c93418-809c-81e0-b350-c806497d0844	RoBERTa: removing NSP, dynamic masking, larger batches, more data	roberta
33c93418-809c-817a-a459-c9dcd3bef457	ALBERT: factorized embedding, cross-layer parameter sharing, sentence order prediction	albert
33c93418-809c-81c5-8d2f-f59d9eb3cf72	DistilBERT: knowledge distillation for smaller BERT	distilbert
