33c93418-809c-8183-a71a-dfbec4212229	Neural topic models (ProdLDA, NTM)	neural_topic_models
33c93418-809c-8177-81b7-ee6b3df51003	Nested CV (for unbiased evaluation)	nested_cv
33c93418-809c-8104-b0fe-e9dbb331d839	Universal approximation theorem	universal_approximation_theorem
33c93418-809c-81da-86fd-cadbddf4d9a9	Swish / SiLU (Sigmoid Linear Unit)	swish_silu
33c93418-809c-8100-89e2-d9576209f82f	Hardswish, Hardtanh (mobile-efficient activations)	hardswish_hardtanh
33c93418-809c-81f7-bc4e-f68b694737ec	Classification losses: binary cross-entropy (BCE), categorical cross-entropy, focal loss, hinge loss	classification_losses
33c93418-809c-8101-877e-d3af6a456d42	Contrastive losses: triplet loss, NT-Xent (InfoNCE), supervised contrastive loss	contrastive_losses
33c93418-809c-8198-9fff-ffa9875a857f	Ranking losses: margin ranking loss, pairwise/listwise ranking losses	ranking_losses
33c93418-809c-8128-a63c-fd898d8f2fee	Reconstruction losses: MSE, BCE, perceptual loss, SSIM loss	reconstruction_losses
33c93418-809c-81cd-945b-ef89a371318f	CTC loss (Connectionist Temporal Classification — speech, OCR)	ctc_loss
33c93418-809c-818e-ac5a-f473afddf468	Vanishing & exploding gradients	vanishing_exploding_gradients
33c93418-809c-81cd-bfa6-c857d7fdbe3b	Gradient checking (numerical gradient verification)	gradient_checking
33c93418-809c-811c-877d-d25be68f81ed	Higher-order gradients (Hessian-vector products)	higher_order_gradients
33c93418-809c-8131-aeeb-ca4ee789b606	Xavier / Glorot initialization (for sigmoid/tanh)	xavier_glorot_initialization
33c93418-809c-8108-86a5-e2f0bfbbf8e8	He / Kaiming initialization (for ReLU family)	he_kaiming_initialization
33c93418-809c-81d5-919d-df7ab5efc36b	LSUV (Layer-Sequential Unit-Variance)	lsuv
33c93418-809c-8199-8e29-dd14d242bd89	Batch Normalization: internal covariate shift, training vs inference mode, learnable affine parameters	batch_normalization
33c93418-809c-81a7-b44f-c91804f21134	Layer Normalization, Instance Normalization, Group Normalization, RMS Normalization	layer_normalization_instance_normalization_group
33c93418-809c-8119-b3b2-c0bb6990c216	Stochastic depth (layer dropout)	stochastic_depth
33c93418-809c-81d5-9fec-c3a56d834d1c	Spatial Dropout (for CNNs)	spatial_dropout
33c93418-809c-81f3-ab0e-e8bb64c4628d	Layer Normalization: NLP-friendly, sequence-length independent	layer_normalization
33c93418-809c-817c-9b94-e616205e85f6	1D, 2D, 3D convolution	1d_2d_3d_convolution
33c93418-809c-81a6-bd2a-fcdcd71c2127	Kernel / filter, stride, padding (valid, same, full)	kernel_filter_stride_padding
33c93418-809c-8155-884a-e6ebf35ecd73	Strided convolution as alternative to pooling	strided_convolution_as_alternative_to_pooling
33c93418-809c-81ff-8c3b-df8ac118b424	GoogLeNet / Inception v1-v4 (2014-2017): inception modules, factorized convolutions, auxiliary classifiers	googlenet_inception_v1_v4
33c93418-809c-8148-b3c9-c4fadca5cb17	Squeeze-and-Excitation Networks (SENet, 2018): channel attention	squeeze_and_excitation_networks
33c93418-809c-8145-9fa3-e9734176dbea	ShuffleNet v1/v2: channel shuffle, efficient group convolution	shufflenet_v1_v2
33c93418-809c-813f-a3f3-c5d1fe98c027	Panoptic segmentation: stuff + things, Panoptic FPN	panoptic_segmentation
33c93418-809c-816c-8220-c027a68b0886	Lovász-Softmax loss (IoU surrogate)	lov_sz_softmax_loss
33c93418-809c-817a-a3ac-fc937224a1cc	3D pose estimation: lifting 2D to 3D, direct 3D prediction	3d_pose_estimation
